QUESTION,BT LEVEL
Explain why the story has the title that it does.,Comprehension
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,Evaluation
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,Comprehension
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,Comprehension
 How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
Design a building to house your study.,Synthesis
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",Evaluation
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
Name and briefly describe three types of column chromatography used in protein purification.,Comprehension
Discuss the factors that affect the stability of high-rise buildings.,Comprehension
Identify three mistakes from the passage and correct them.,Comprehension
Explain the purpose of human communication process. ,Comprehension
Compare this piece of music with the music recorded in CD quality. ,Comprehension
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,Knowledge
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,Application
Analyze the purpose of having a Purchasing Department in an organization.,Analysis
Support your answers with TWO (2) examples in everyday life for each strategy. ,Evaluation
Explain FIVE (5) phases of graphic design process. ,Comprehension
Discuss ONE (1) advantage and ONE (1) disadvantage of BASIC and FORM based authentication mechanisms.,Comprehension
Can you explain what must have happened when . . .?,Analysis
List out FOUR (4) benefits of using RFID.,Knowledge
Describe and sketch the THREE (3) types of brick bonding. ,Application
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia. ,Comprehension
Calculate for x in the following equation: 12x=36,Application
Give FIVE (5) guidelines when creating storyboarding.,Knowledge
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,Knowledge
Discuss the role of skimming and scanning as pre-reading activities. ,Comprehension
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
Draw a color wheel diagram with primary and secondary color. ,Comprehension
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
Who is the first president   of USA,Knowledge
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,Evaluation
Demonstrate how this could work in an industry setting?,Application
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",Evaluation
State the five assumptions of an ideal diode. ,Knowledge
Describe how the increase of soil organic matter level may immobilize some nutrients in soil. ,Comprehension
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,Evaluation
What is part of this book did you like best. Tell why you like it?,Evaluation
Identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. Evaluate the graphical diagram. ,Evaluation
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable. ,Comprehension
